id,brand,name,gender,price,currency,availability,sku,description,url,image_url
11,Canada Goose,Canada Goose Men's Amherst Hoody,Men,375,USD,https://schema.org/InStock,7000M-699-XS,"Throw on the Canada Goose men’s Amherst hoody as you're heading to morning practice, or just while lounging at home. It has a classic hoodie look and feel, reinforced with Cordura® fabric at high-abrasion areas, and a breathable open-knit construction in areas prone to overheating. Features Fabric: Merino Wool Adjustable hood Reflective detail at back hood Cordura® at shoulders and elbow patches Ribbed knit cuffs and hem Kangaroo pocket Classic Disc logo patch at upper left sleeve Hip length | Regular fit",https://www.escapeoutdoors.com/canada-goose-mens-amherst-hoody/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4390/32508/Canada-Goose-Mens-Amherst-Hoody-Iron-Grey__02736.1746748189.png?c=1
12,Canada Goose,Canada Goose Men's Arctic Disc Snapback Cap,Men,225,USD,https://schema.org/InStock,5446M-11,Add style to your Canada Goose collection with our Canada Goose Men’s Arctic Disc snapbacks. Designed in the New Era 9FIFTY low profile silhouette and featuring our signature double-stripe reflective details for added visibility in low light. An adjustable snapback strap gives a comfortable fit and tonal black Silicone Arctic Disc logo finishes this style. Get your Canada Goose snapback today. Features New Era 9TWENTY silhouette Adjustable leather strap at the back Breathable sweatband for added comfort Silicone Canada Goose logo at front,https://www.escapeoutdoors.com/canada-goose-mens-arctic-disc-snapback-cap/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4493/33083/Canada-Goose-Mens-Arctic-Disc-Snapback-Cap-Red__17661.1738872922.png?c=1
13,Canada Goose,Canada Goose Men's Armstrong Hoody,Men,895,USD,https://schema.org/OutOfStock,5076M-61-XS,"The Armstrong Hoody is both comfortable and durable, with Cordura® fabric reinforcement at high-abrasion areas. A down-filled hood keeps you warm when needed, and if the temperature rises, it's packable into the left pocket for easy carrying.Features Packable into wearer's interior left pocket. When packed, it has a carrying loop for easy travel. Down-filled hood is adjustable 2-ways and adds warmth and element protection. Signature double-stripe reflective details at back for added visibility in low light Elbows, tops of shoulders, pocket details and cuffs are reinforced with Cordura® fabric for added durability at high-abrasion areas Articulated sleeves and underarm gussets enhance fit and add range of motion Recessed Power Stretch® cuffs with thumbhole construction lock in heat and keep sleeves in place during active use Down-filled placket with hidden snap closures over 2-way zipper keeps the elements out. Unzip from the bottom for added range of motion or venting 2 exterior pockets: 2 fleece-lined handwarmer pockets with snap closures 2 interior pockets: security pocket with zipper closure that doubles as a pack pocket, mesh drop-in pocket",https://www.escapeoutdoors.com/canada-goose-mens-armstrong-hoody/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4251/31636/Canada-Goose-Mens-Armstrong-Hoody-Black__26702.1738862590.png?c=1
14,Canada Goose,Canada Goose Men's Block Rib Slouch Hat,Men,150,USD,https://schema.org/InStock,6944M-67,"Scottish heritage company, Robert Mackie of Scotland, was established in 1845. Their century-spanning expertise is evident in this toque made exclusively for Canada Goose. The Canada Goose Block Rib Slouch Hat is knitted from a denser, chunkier wool yarn to retain heat and is a slouchy fit for maximum comfort in the cold. Read more to see why people can’t stop talking about our Block Rib Slouch Hat. Features Made from 100% British Wool Naturally water-resistant Provides natural UV protection Leather logo label to distinguish collaboration",https://www.escapeoutdoors.com/canada-goose-mens-block-rib-slouch-hat/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4248/31627/Canada-Goose-Mens-Block-Rib-Slouch-Hat-Navy__52533.1738862521.png?c=1
15,Canada Goose,Canada Goose Men's Carson Parka Heritage,Men,1775,USD,https://schema.org/OutOfStock,3805M-49-XS,"The Canada Goose Men’s Carson Parka Heritage is our original Carson Parka. With stylish quilt lines and fur hood trim for exceptional warmth. A nod to our traditional Chateau Parka, the Canada Goose Carson Parka has exterior quilted lines creating a more stylized aesthetic. It's mid-thigh length and removable coyote fur hood provide exceptional warmth for the cold in fall and winter months. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCClassicHOOD TRIMFurFeatures Classic Mid-thigh Made in Canada with domestic and imported materials Quilt-through design 2-way adjustable hood with hood wire for an enhanced fit. Removable fur ruff Chin guard is lined with tricot fabric for softness and comfort Recessed rib-knit cuffs add comfort and lock in heat Placket with snap closures over 2-way zipper keeps the elements out. Unzip from the bottom for added range of motion or venting 3 exterior pockets: chest pocket, 2 lower fleece-lined handwarmer pockets. All pockets have zipper closures 1 interior pocket: security pocket with zipper closure THERMAL EXPERIENCE INDEX™Whether you're working up a sweat hiking trails, embarking on an urban adventure, or exploring the coldest places on Earth, we've developed the Thermal Experience Index (TEI) to help you find the right Canada Goose product for your body, your activities, and lifestyle.",https://www.escapeoutdoors.com/canada-goose-mens-carson-parka-heritage/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4198/31319/3805M-49-Military-Green__09590.1738860668.png?c=1
16,Canada Goose,Canada Goose Men's Carson Parka,Men,1495,USD,https://schema.org/InStock,2079M-61-S,"A nod to our traditional Chateau Parka, the Carson Parka has exterior quilted lines creating a more stylized aesthetic. Updated with streamlined hood details, added backpack straps, and additional interior pockets, its mid-thigh length and down-filled hood provide exceptional warmth for the cold in the fall and winter. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCClassic Features Adjustable down-filled hood adds warmth and element protection Hood features a remov able zipper guard for the option of changing your hood trim for a customized look and added protection (this jacket is not compatible with Heritage hood trims) Quilt through design Chin guard is lined with tricot fabric for softness and comfort Rib-knit cuffs add comfort, enhance fit and lock in heat Sleek interior hanging lining with backpack straps allow jacket to be carried hands-free over the shoulders Placket with snap closures over two-way zipper keeps the elements out 3 Exterior pockets: 2 lower pockets with zipper closures, 1 chest pocket with zipper closure 3 interior pockets: 1 security pocket with zipper closure, 2 mesh drop-in pockets",https://www.escapeoutdoors.com/canada-goose-mens-carson-parka/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/5755/39966/2079M-Black__35180.1738926168.png?c=1
17,Canada Goose,Canada Goose Men's Chateau Parka Black Label Heritage,Men,1775,USD,https://schema.org/InStock,3426MB-61-XS,"The Chateau Parka Heritage is our original Chateau Parka. A classic winter essential with fur hood trim designed for cold weather defense. Designed for unparalleled cold weather defense, our Chateau Parka is a classic winter essential. This slim-fitting silhouette has a protective mid-thigh length. It's finished with stretch ribbed knit cuffs to lock in warmth. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCBlackHOOD TRIMFur2-way adjustable down-filled hood adds warmth and element protection. Hood has removable fur rufftricot fabric chin guard adds softness and comfortWebbing grab strap at upper back with Canada Goose emblem patchRecessed rib-knit cuffs add comfort and lock in heatPlacket with military button closures over 2-way zipper keeps the elements out. Unzip from the bottom for added range of motion and venting3 exterior pockets: chest pocket, 2 lower fleece-lined handwarmer pockets. All pockets have zipper closures3 interior pockets: security pocket with zipper closure, 2 drop-in pocketsBlack tonal Canada Goose Disc THERMAL EXPERIENCE INDEX™Whether you're working up a sweat hiking trails, embarking on an urban adventure, or exploring the coldest places on Earth, we've developed the Thermal Experience Index (TEI) to help you find the right Canada Goose product for your body, your activities, and lifestyle.TEI4ENDURING-15°C / -25°C5°F / -13°FInspired by the Arctic and made for enduring daily warmth.",https://www.escapeoutdoors.com/canada-goose-mens-chateau-parka-black-label-heritage/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4604/33702/CG_008_a065342c-add7-485b-b28e-fbcca472caa9__96889.1738876209.jpg?c=1
18,Canada Goose,Canada Goose Men's Chateau Parka Heritage,Men,1775,USD,https://schema.org/InStock,3426M-11-XS,"The Chateau Parka Heritage is our original Chateau Parka. A classic winter essential with fur hood trim designed for cold weather defense.Designed for unparalleled cold weather defense, our Chateau Parka is a classic winter essential. This slim-fitting silhouette has a protective mid-thigh length. It's finished with stretch ribbed knit cuffs to lock in warmth.FeaturesFITClassicLENGTHMid Thigh LengthORIGINCanada Non-removable hood is adjustable two-ways Centre back grabstrab with Canada Goose emblem Exterior fleece-lined handwarmer pockets and a Napoleon chest pocket Three interior pockets; one security pocket with zipper closure and two drop-in pockets Stretch rib cuffs add warmth and comfort THERMAL EXPERIENCE INDEX™Whether you're working up a sweat hiking trails, embarking on an urban adventure, or exploring the coldest places on Earth, we've developed the Thermal Experience Index (TEI) to help you find the right Canada Goose product for your body, your activities, and lifestyle.TEI4ENDURING-15°C / -25°C5°F / -13°FInspired by the Arctic and made for enduring daily warmth.",https://www.escapeoutdoors.com/canada-goose-mens-chateau-parka-heritage/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4447/32847/Canada-Goose-Mens-Chateau-Parka-Red__92189.1738871661.png?c=1
19,Canada Goose,Canada Goose Men's Chilliwack Bomber Heritage,Men,1575,USD,https://schema.org/InStock,7999M-11-XS,"Our original Canada Goose Men’s Chilliwack Bomber that provides durability, mobility and added warmth with a fur hood trim. Developed as a nod to post-war bush pilots in Canada's North, the Canada Goose Chilliwack Bomber provides the durability, warmth, and mobility that these pilots needed when working on Arctic runways. An enduringly popular and iconic style, the Chilliwack is one of Canada Goose's most beloved jackets. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCClassicHOOD TRIMFurFeatures Bomber length for exceptional mobility Removable fur ruff Non-removable, adjustable tunnel hood with a shaping wire to stand up to winds Stretch rib waistband and cuff for added warmth and comfort Placket with hidden snap closures over 2-way zipper keeps the elements out. Unzip from the bottom for added range of motion or venting Reinforced elbows for durability Exterior pockets: 2 lower handwarmer pockets, 2 high-hand pockets, 1 sleeve pen pocket Interior pocket: drop-in pocket THERMAL EXPERIENCE INDEX™Whether you're working up a sweat hiking trails, embarking on an urban adventure, or exploring the coldest places on Earth, we've developed the Thermal Experience Index (TEI) to help you find the right Canada Goose product for your body, your activities, and lifestyle.TEI3FUNDAMENTAL-10°C / -20°C14°F / -4°FFundamental warmth fashioned for everyday use.",https://www.escapeoutdoors.com/canada-goose-mens-chilliwack-bomber-heritage/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4307/32012/7999M-F2__49104.1738864584.png?c=1
20,Canada Goose,Canada Goose Men's Crofton Hoody Black Label,Men,950,USD,https://schema.org/OutOfStock,2227MB-1664-S,"This is the hooded jacket you’ll reach for all Spring long: As a warm layer under your rain jacket on colder, rainier mornings; with a wind shell on blustery afternoons; by itself on those summer evenings with a hint of a chill. The Crofton Hoody is a versatile, lightweight all-rounder that even packs into itself for easy portability.Features Packable into interior left pocket. When packed, cinchable bag and exterior loops provide backpack strap capability for effortless travel This style features ultra lightweight channel fill construction paired with lightweight fabrics and trims for weightless warmth and effortless movement Down-filled adjustable hood with cordlock adds warmth and element protection. Signature double-stripe black reflective details at the back add visibility in low light Removable elasticized interior backpack straps allow jacket to be carried hands-free over the shoulders Articulated sleeves and underarm gussets enhance fit and add range of motion Storm flap underneath 2-way zipper keeps the elements out. Unzip from the bottom for added range of motion or venting Sleek, low-bulk Power Stretch® cuffs provide secured protection from the elements while providing easy entry Hem features interior drawcord to customize fit and trap heat towards the body 2 exterior pockets: hand pockets with zipper closures and tricot fabric at knuckle side for softness and warmth 3 interior pockets: drop-in pockets",https://www.escapeoutdoors.com/canada-goose-mens-crofton-hoody-black-label/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4791/45281/CG_010__09361.1757627123.jpg?c=1
